Sample_Name,ML
SB278791684,95
SB278791686,73
SB278791687,131
SB278791688,127
SB278791689,38
SB278791692,127
SB278791693,69
SB278791694,141
SB278791695,5418
SB278791697,131
SB278791698,297
SB278791699,420
SB278791700,1193
SB278791701,141
SB278791703,349
SB278791704,349
SB278791705,1193
SB278791707,1193
SB278791708,58
SB278791709,95
SB278791710,73
SB278791711,131
SB278791713,69
SB278791715,73
SB278791716,3580
SB278791717,3580
SB278791718,361
SB278791719,1193
SB278791720,167
SB278791721,131
SB278791722,2015
SB278791723,538
SB278791724,95
SB278791725,127
SB278791726,12
SB278791727,144
SB278791728,73
SB278791729,162
SB278791730,73
SB278791731,80
SB278791732,69
SB278791733,6092
SB278791734,69
SB278791735,127
SB278791736,69
SB278791737,69
SB278791738,428
SB278791739,69
SB278791740,404
SB278791744,1611
SB278791745,616
SB278791746,5340
SB278791752,134
SB278791753,117
SB278791754,1594
SB278791755,1567
SB278791758,140
SB278791759,6069
SB278791760,117
SB278791761,429
SB278791762,124
SB278791764,140
SB278791765,117
SB278791768,101
SB278791769,117
SB278791770,101
SB278791771,23
SB278791772,93
SB278791773,641
SB278791774,501
SB278791776,2175
SB278791777,88
SB278791778,88
SB278791779,93
SB278791780,88
SB278791781,57
SB278791782,602
SB278791784,5308
SB278791785,538
SB278791787,101
SB278791789,2175
SB278791790,5308
SB278791791,134
SB278791792,38
SB278791793,399
SB278791794,88
SB278791795,117
SB278791796,101
SB278791797,57
SB278791799,349
SB278791800,973
SB278791801,117
SB278791802,349
SB278791804,10
SB278791805,212
SB278791806,57
SB278791807,117
SB278791809,117
SB278791810,117
SB278791812,93
SB278791813,117
SB278791814,602
SB278791816,117
SB278791817,117
SB278791819,401
SB278791822,2726
SB278791823,8146
SB278791824,117
SB278791825,101
SB278791826,93
SB278791827,57
SB278791829,117
SB278791830,93
SB278791832,101
SB278791833,362
SB278791834,101
SB278791835,101
SB278791837,58
SB278791839,6069
SB278791840,117
SB278791841,2253
SB278791843,57
SB279406394,1463
SB279406395,351
SB279406396,38
SB279406397,355
SB279406404,10
SB279406406,101
SB279406408,2248
SB279406410,1585
SB279406411,212
SB279406416,1304
SB279406417,6753
SB279406418,95
SB279406419,1844
SB279406420,1564
SB279406421,3107
SB279406422,1286
SB279406423,349
SB279406425,1079
SB279406426,1081
SB279406427,117
SB279406429,399
SB279406431,1611
SB279406432,117
SB279406433,442
SB279406434,349
SB279406435,2329
SB279406436,602
SB279406438,4162
SB279406439,-
SB279406440,101
SB279406441,38
SB279406443,117
SB279406444,155
SB279406445,2040
SB279406447,101
SB279406448,155
SB279406450,212
SB279406456,2040
SB279406459,349
SB279406460,10
SB279406461,5881
SB279406462,6069
SB279406463,212
SB279406464,1852
SB279406465,1844
SB279406466,3580
SB279406468,155
SB279406469,155
SB279406470,23
SB279406471,117
SB279406472,155
SB279406473,1611
SB279406475,212
SB279406476,224
SB279406478,155
SB279406479,1121
SB279406484,2485
SB279406485,117
SB279406486,117
SB279406487,345
SB279406490,10
SB279406492,7283
SB279406493,5308
SB279406494,6069
SB279406495,131
SB279406496,57
SB279406497,117
SB279406498,117
SB279406499,6069
SB279406500,117
SB279406501,720
SB279406504,3168
SB279406506,2253
SB279406507,355
SB279406508,2522
SB279406510,117
SB279406511,58
SB279406512,1844
SB279406513,1434
SB279406515,191
SB279406516,69
SB279406517,366
SB279406518,1421
SB279406519,1844
SB279406520,401
SB279406521,57
SB279406522,2253
SB279406523,58
SB279406524,641
SB279406525,117
SB279406527,428
SB279406528,58
SB279406529,602
SB279406530,1304
SB279406531,117
SB279406532,355
SB279406535,3580
SB279406536,227
SB279406541,-
SB279406542,216
SB279406543,392
SB279406544,8608
SB279406545,540
SB279406548,906
SB279406549,1252
SB279406551,978
SB279406552,10
SB279406554,164
SB279406555,1236
SB279406556,212
SB279406557,3580
SB279406558,1844
SB279406559,135
SB279406560,355
SB279406561,3168
SB279406563,401
SB279406564,117
SB279406565,10
SB279406566,1611
SB279406567,5949
SB279406571,657
SB279406573,1611
SB279406574,533
SB279406575,1463
SB279406659,1510
SB279406660,2387
SB279406661,162
SB279406663,117
SB279406664,56
SB279406665,58
SB279406667,1141
SB279406668,117
SB279406669,43
SB279406670,1049
SB279406671,1695
SB279406678,636
SB279406682,28
SB279406683,69
SB279406685,10
SB279406686,73
SB279406687,73
SB279406688,73
SB279406689,69
SB279406691,131
SB279406692,12
SB279406693,131
SB279406695,942
SB279406696,420
SB279406699,73
SB279406700,69
SB279406701,73
SB279406703,457
SB279406705,95
SB279406708,69
SB279406710,1722
SB279406711,127
SB279406713,14
SB279406714,1722
SB279406716,196
SB279406717,127
SB279406718,131
SB279406719,131
SB279406721,73
SB279406722,73
SB279406723,5493
SB279406724,131
SB279406727,69
SB279406729,10
SB279406732,95
SB279406734,73
SB279406735,641
SB279406736,95
SB279406737,95
SB279406738,101
SB279406741,131
SB279406742,131
SB279406746,141
SB279406747,421
SB279406748,95
SB279406749,297
SB279406750,69
SB279406751,12
SB279406753,73
SB279406755,131
SB279406756,69
SB279406757,73
SB279406758,95
SB279406759,95
SB279406760,69
SB279406763,1193
SB279406764,69
SB279406766,-
SB279406771,4682
SB279406772,12
SB279406774,648
SB279406775,127
SB279406778,73
SB279406779,69
SB279406780,131
SB279406781,69
SB279406782,127
SB279406783,372
SB279406784,-
SB279406787,-
SB279406790,127
SB279406791,95
SB279406792,1193
SB279406793,73
SB279406794,73
SB279406795,69
SB279406796,4260
SB279406797,2604
SB279406798,1867
SB279406799,95
SB279406802,491
SB279406806,73
SB279406808,95
SB279406810,69
SB279406811,73
SB279406812,10
SB279406813,127
SB279406814,131
SB279406816,8125
SB279406817,3018
SB279406818,1193
SB279406819,127
SB279406820,95
SB279406821,131
SB279406822,12
SB279406823,141
SB279406824,69
SB279406827,73
SB279406830,73
SB279406833,95
SB279406834,69
SB279406836,73
SB279406837,95
SB279406838,372
SB279406840,95
SB279406842,131
SB279406843,95
SB279406844,998
SB279406845,69
SB279406849,38
SB279406850,155
SB279406855,69
SB279406856,1193
SB279406859,3997
SB279406860,131
SB279406861,10
SB279406863,6559
SB279406867,131
SB279406870,14
SB279406871,73
SB279406872,73
SB279406874,95
SB279406875,1193
SB279406877,1193
SB279406878,12
SB279406879,1193
SB279406880,131
SB279406881,38
SB279406882,393
SB279406883,-
SB279406884,1193
SB279406886,131
SB279406887,95
SB279406889,73
SB279406891,95
SB279406892,1193
SB279406893,69
SB279406895,69
SB279406896,62
SB279406898,131
SB279406906,73
SB279406907,95
SB279406909,1193
SB279406910,131
SB279406911,70
SB279406912,372
SB279406913,127
SB279406914,69
SB279406915,404
SB279406916,2973
SB279406917,131
SB279406918,69
SB279406919,131
SB279406920,131
SB279406921,357
SB279406922,73
SB279406923,6669
SB279406924,421
SB279406926,602
SB279406928,607
SB279406931,131
SB279406932,127
SB279406933,73
SB279406934,569
SB279406938,2279
SB279406940,1193
SB279406941,73
SB279406944,62
SB279406945,127
SB279406948,-
SB279406950,69
SB279406951,8671
SB279406952,10
SB279406954,968
SB279406956,73
SB279406957,58
SB279406962,12
SB279406963,38
SB279406964,131
SB279406965,357
SB279406966,131
SB279406971,-
SB279406972,372
SB279406973,127
SB279406974,-
SB279406976,127
SB279406977,1193
SB279406978,131
SB279406980,167
SB279406984,12
SB279406986,6091
SB279406987,95
SB279406988,127
SB279406989,2280
SB279406990,131
SB279406991,131
SB279406992,131
SB279406993,2618
SB279406994,95
SB279406995,69
SB279406998,131
SB279407000,-
SB279407001,127
SB279407002,69
SB279407004,636
SB279407005,127
SB279407007,491
SB279407008,1193
SB279407009,69
SB279407010,998
SB279407011,12
SB279407012,453
SB279407013,131
SB279407014,73
SB279407015,297
SB279407016,131
SB279407017,420
SB279407018,73
SB279407019,69
SB279407020,349
SB279407021,1193
SB279407022,12
SB279407023,73
SB279407024,1034
SB279407025,-
SB279407026,998
SB279407027,73
SB279407029,1193
SB279407030,351
SB279407031,127
SB279407032,420
SB279407034,127
SB279407035,73
SB279407036,73
SB279407037,1193
SB279407038,127
SB279407039,1193
SB279407040,95
SB279407041,555
SB279407042,1231
SB279407044,73
SB279407045,69
SB279407046,2076
SB279407047,127
SB279407048,131
SB279407051,3202
SB279407052,73
SB279407053,117
SB279407054,1193
SB279407055,6826
SB279407059,1193
SB279407060,141
SB279407061,131
SB279407063,127
SB279407064,127
SB279407066,1196
SB279407067,555
SB279407069,127
SB279407070,998
SB279407072,131
SB279407073,131
SB279407074,189
SB279407076,69
SB279407078,95
SB279407079,127
SB279407080,1193
SB279407081,69
SB279407082,127
SB279407083,73
SB279407084,131
SB279407087,2186
SB279407088,12
SB279407089,127
SB279407091,127
SB279407095,131
SB279407096,131
SB279407098,69
SB279407099,127
SB279407101,95
SB279407102,141
SB279407103,69
SB279407104,1193
SB279407106,10
SB279407107,1486
SB279407108,12
SB279407109,10
SB279407110,73
SB279407111,12
SB279407112,3057
SB279407113,131
SB279407114,73
SB279407115,95
SB279407117,1193
SB279407119,73
SB279407120,404
SB279407121,1193
SB279407122,141
SB279407123,711
SB279407124,127
SB279407125,95
SB279407129,5979
SB279407130,1278
SB279407131,1652
SB279407133,2165
SB279407134,753
SB279407135,88
SB279407136,10
SB279407137,95
SB279407138,58
SB279407139,73
SB279407140,131
SB279407142,69
SB279407143,4713
SB279407145,73
SB279407147,3018
SB279407148,73
SB279407149,73
SB279407155,442
SB279407156,69
SB279407157,73
SB279407158,69
SB279407159,38
SB279407160,95
SB279407162,2604
SB279407163,95
SB279407165,127
SB279407166,101
SB279407167,73
SB279407168,4219
SB279407169,80
SB279407170,491
SB279407171,-
SB279407173,95
SB279407174,1231
SB279407175,6216
SB279407177,10
SB279407179,73
SB279407180,1193
SB279407181,131
SB279407182,38
SB279407183,131
SB279407184,93
SB279407185,1193
SB279407186,69
SB279407188,95
SB279407189,10
SB279407190,95
SB279407191,58
SB279407192,73
SB279407193,457
SB279407194,73
SB279407195,73
SB279407196,394
SB279407197,12
SB279407198,10
SB279407199,73
SB279407200,420
SB279407201,69
SB279407202,1193
SB279407203,1193
SB279407204,1193
SB279407205,68
SB279407206,62
SB279407207,58
SB279407208,95
SB279407209,10
SB279407210,95
SB279407211,8184
SB279407212,69
SB279407213,127
SB279407214,127
SB279407215,7701
SB279407216,349
SB279407217,131
SB279407219,1123
SB279407220,69
SB279407222,348
SB279407223,131
SB279407224,144
SB279407226,737
SB279407228,491
SB279407229,405
SB279407230,1193
SB279407231,95
SB279407232,219
SB279407233,131
SB279407235,69
SB279407237,95
SB279407238,4219
SB279407239,1432
SB279407241,95
SB279407243,-
SB279407244,1193
SB279407245,69
SB279407246,4358
SB279407253,127
SB279407254,1193
SB279407255,131
SB279407256,95
SB279407258,144
SB279407259,6559
SB279407262,12
SB279407263,1193
SB279407264,127
SB279407265,95
SB279407266,141
SB279407267,69
SB279407268,95
SB279407271,541
SB279407272,1316
SB279407273,141
SB279407274,69
SB279407275,73
SB279407277,1193
SB279407279,-
SB279407280,131
SB279407281,1231
SB279407282,95
SB279407284,69
SB279407285,10
SB279407289,501
SB279407290,69
SB279407291,141
SB279407292,95
SB279407293,73
SB279407294,73
SB279407295,131
SB279407297,69
SB279407299,69
SB279407300,73
SB279407301,69
SB279407303,73
SB279407304,1193
SB279407305,216
SB279407307,680
SB279407308,95
SB279407309,1231
SB279407310,1611
SB279407311,-
SB279407312,1148
SB279407313,12
SB279407314,69
SB279407315,95
SB279407316,156
SB279407317,73
SB279407318,127
SB279407319,95
SB279407320,69
SB279407321,73
SB279407322,34
SB279407323,2619
SB279407326,127
SB279407328,69
SB279407331,88
SB279407333,69
SB279407335,416
SB279407336,127
SB279407337,73
SB279407339,95
SB279407341,131
SB279407343,131
SB279407347,69
SB279407348,58
SB279407349,131
SB279407350,569
SB279407351,4735
SB279407352,1177
SB279407357,80
SB279407358,-
SB279407359,144
SB279407360,998
SB279407362,95
SB279407363,12
SB279407365,1193
SB279407367,6092
SB279407368,131
SB279407369,141
SB279407370,95
SB279407371,73
SB279407373,69
SB279407374,131
SB279407375,127
SB279407376,372
SB279407377,131
SB279407378,95
SB279407379,10
SB279407380,69
SB279407381,95
SB279407384,131
SB279407387,95
SB279407389,420
SB279407390,131
SB279407391,1193
SB279407392,95
SB279407393,191
SB279407394,127
SB279407395,131
SB279407396,127
SB279407397,131
SB279407398,420
SB279407399,297
SB279407400,14
SB279407401,80
SB279407402,95
SB279407403,607
SB279407404,69
SB279407405,404
SB279407406,69
SB279407408,95
SB279407409,127
SB279407410,420
SB279407412,978
SB279407413,80
SB279407414,144
SB279407416,1236
SB279407417,73
SB279407418,349
SB279407419,95
SB279407421,127
SB279407422,1231
SB279407425,998
SB279407426,95
SB279407428,12
SB279407430,-
SB279407431,2227
SB279407432,141
SB279407433,3858
SB279407435,127
SB279407436,73
SB279407437,131
SB279407439,73
SB279407443,73
SB279407444,404
SB279407447,73
SB279407451,73
SB279407452,12
SB279407453,538
SB279407455,131
SB279407456,357
SB279407458,1231
SB279407459,69
SB279407460,420
SB279407461,12
SB279407462,131
SB279407463,38
SB279407466,372
SB279407467,127
SB279407468,69
SB279407469,2015
SB279407470,3877
SB279407471,155
SB279407472,73
SB279407474,69
SB279407476,141
SB279407480,131
SB279407749,73
SB279407753,69
SB279407754,88
SB279407756,648
SB279407757,73
SB279407758,73
SB279407759,95
SB279407760,224
SB279407762,12
SB279407763,127
SB279407764,69
SB279407766,1236
SB279407767,95
SB279407768,-
SB279407769,95
SB279407770,95
SB279407771,80
SB279407773,73
SB279407774,73
SB279407776,127
SB279407777,73
SB279407778,706
SB279407779,-
SB279407780,95
SB279407781,8184
SB279407782,127
SB279407783,69
SB279407784,404
SB279407785,131
SB279407786,127
SB279407787,635
SB279407788,141
SB279407789,38
SB279407790,95
SB279407791,420
SB279407792,-
SB279407794,-
SB279407795,127
SB279407796,1193
SB279407797,6826
SB279407798,58
SB279407799,131
SB279407800,38
SB279407801,127
SB279407802,69
SB279407803,12
SB279407805,95
SB279407806,95
SB279407808,978
SB279407809,7125
SB279407811,1304
SB279407812,73
SB279407814,101
SB279407815,127
SB279407816,1193
SB279407818,131
SB279407819,127
SB279407820,635
SB279407821,69
SB279407827,278
SB279407829,223
SB279407830,117
SB279407831,1611
SB279407834,117
SB279407836,226
SB279407837,1611
SB279407839,216
SB279407841,401
SB279407843,10
SB279407844,3580
SB279407845,1844
SB279407846,401
SB279407847,6488
SB279407849,345
SB279407851,6096
SB279407852,-
SB279407854,8712
SB279407855,457
SB279407856,86
SB279407857,224
SB279407858,141
SB279407859,10
SB279407860,-
SB279407865,23
SB279407866,117
SB279407871,117
SB279407873,58
SB279407874,399
SB279407875,355
SB279407878,1137
SB279407879,2079
SB279407881,355
SB279407882,1079
SB279407884,206
SB279407885,23
SB279407886,2328
SB279407887,117
SB279407888,69
SB279407889,491
SB279407890,5891
SB279407891,155
SB279407893,635
SB279407894,10
SB279407895,-
SB279407896,117
SB279407897,398
SB279407898,491
SB279407899,34
SB279407900,1720
SB279407902,1086
SB279407904,6595
SB279407907,162
SB279407909,973
SB279407910,212
SB279407915,56
SB279407923,3580
SB279407924,336
SB279407925,2165
SB279407926,3587
SB279407927,3587
SB279407930,117
SB279407932,7616
SB279407934,355
SB279407935,3580
SB279407936,162
SB279407937,10
SB279407938,355
SB279407939,117
SB279407940,501
SB279407941,399
SB279407942,117
SB279407943,355
SB279407944,109
SB279407945,131
SB279407947,48
SB279407948,1308
SB279407949,602
SB279407950,88
SB279407951,2223
SB279407952,34
SB279407954,1665
SB279407955,117
SB279407957,1167
SB279407960,101
SB279407962,399
SB279407963,117
SB279407964,-
SB279407965,345
SB279407966,101
SB279407967,117
SB279407968,3188
SB279407969,4774
SB279407970,69
SB279407973,602
SB279407975,3580
SB279407976,345
SB279407980,162
SB279407981,101
SB279407982,401
SB279407983,10
SB279407984,1618
SB279407985,428
SB279407986,38
SB279407987,162
SB279407988,1611
SB279407989,69
SB279407992,10
SB279407993,5156
SB279407994,401
SB279407997,6949
SB279408000,58
SB279408002,345
SB279408021,1429
SB279408045,57
SB279408046,6338
SB279408048,10
SB279408052,48
SB279408056,602
SB279408057,155
SB279408058,345
SB279408059,196
SB279408061,2035
SB279408062,155
SB279408064,155
SB279408067,1844
SB279408068,4774
SB279408069,401
SB279408070,540
SB279408071,602
SB279408072,6949
SB279408073,10634
SB279408074,3580
SB279408075,88
SB279408076,155
SB279408077,6949
SB279408078,428
SB279408079,57
SB279408080,135
SB279408081,1607
SB279408084,109
SB279408085,1204
SB279408086,1618
SB279408087,720
SB279408088,345
SB279408089,3580
SB279408090,86
SB279408091,58
SB279408092,10
SB279408094,-
SB279408095,10
SB279408096,3168
SB279408097,10
SB279408100,1727
SB279408101,345
SB279408102,540
SB279408103,3234
SB279408104,223
SB279408106,1611
SB279408107,69
SB279408109,1844
SB279408110,297
SB279408115,-
SB279408116,1276
SB279408117,58
SB279408118,278
SB279408119,109
SB279408122,706
SB279408123,3580
SB279408124,117
SB279408125,34
SB279408128,349
SB279408129,75
SB279408130,117
SB279408131,6316
SB279408132,-
SB279408133,23
SB279408134,162
SB279408135,1236
SB279408136,3936
SB279408137,23
SB279408138,6032
SB279408140,409
SB279408141,1725
SB279408142,23
SB279408143,4417
SB279408144,-
SB279408145,101
SB279408146,602
SB279408151,162
SB279408152,1844
SB279408153,6949
SB279408154,23
SB279408155,23
SB279408156,9853
SB279408157,3580
SB279408158,6745
SB279408159,10
SB279408160,1434
SB279408161,117
SB279408163,-
SB279408164,2713
SB279408165,5296
SB279408166,297
SB279408167,101
SB279408168,58
SB279408169,8619
SB279408170,442
SB279408171,706
SB279408172,3580
SB279408173,69
SB279408174,7233
SB279408175,10206
SB279408176,117
SB279408177,5796
SB279408179,23
SB279408180,109
SB279408181,1592
SB279408182,399
SB279408183,1385
SB279408184,3580
SB279408185,135
SB279408188,162
SB279408189,345
SB279408190,117
SB279408191,6069
SB279408192,129
SB279408193,10
SB279408197,2253
SB279408198,3580
SB279408199,135
SB279408200,1844
SB279408211,69
SB279408252,109
SB279408258,2223
SB279408260,1582
SB279408261,1011
SB279408263,399
SB279408264,1727
SB279408266,8611
SB279408267,135
SB279408268,48
SB279408269,10
SB279408272,1844
SB279408275,515
SB279408276,607
SB279408279,1081
SB279408280,652
SB279408282,3580
SB279408284,162
SB279408285,69
SB279408286,1137
SB279408287,-
SB279408288,2164
SB279408289,6559
SB279408291,140
SB279408293,1434
SB279408294,1434
SB279408295,-
SB279408296,401
SB279408300,43
SB279408301,501
SB279408302,1304
SB279408308,1304
SB279408309,3258
SB279408310,297
SB279408311,906
SB279408313,196
SB279408315,196
SB279408317,409
SB279408318,38
SB279408319,10
SB279408322,23
SB279408323,10
SB279408324,3580
SB279408325,1618
SB279408328,3580
SB279408330,86
SB279408333,388
SB279408335,345
SB279408343,1385
SB279408344,1137
SB279408345,2064
SB279408347,278
SB279408349,-
SB279408350,388
SB279408353,345
SB279408354,6949
SB279408355,1844
SB279408356,-
SB279408358,399
SB279408363,23
SB279408364,23
SB279408365,10
SB279408366,10
SB279408367,-
SB279408371,69
SB279408372,5940
SB279408373,540
SB279408374,401
SB279408376,56
SB279408377,117
SB279408380,401
SB279408381,1248
SB279408383,155
SB279408384,-
SB279408385,4995
SB279408387,1385
SB279408388,533
SB279408389,906
SB279408390,10
SB279408391,10
SB279408392,141
SB279408393,428
SB279408395,5308
SB279408396,720
SB279408397,2077
SB279408412,720
SB279408439,5940
SB279408441,906
SB279408442,1844
SB279408448,602
SB279408451,752
SB279408456,155
SB279408460,3234
SB279408470,1079
SB279408475,295
SB279408476,1434
SB279408477,1385
SB279408479,43
SB279408481,5308
SB279408483,109
SB279408492,1434
SB279408493,-
SB279408494,162
SB279408495,1611
SB279408499,1434
SB279408500,155
SB279408503,4623
SB279408504,-
SB279408506,1594
SB279408508,155
SB279408511,117
SB279408513,706
SB279408514,-
SB279408516,1148
SB279408517,4774
SB279408518,401
SB279408519,88
SB279408521,3090
SB279408522,95
SB279408523,212
SB279408524,399
SB279408525,355
SB279408526,978
SB279408528,635
SB279408529,942
SB279408530,10
SB279408531,38
SB279408532,223
SB279408533,515
SB279408537,117
SB279408538,155
SB279408539,1665
SB279408540,906
SB279408541,95
SB279408542,-
SB279408544,141
SB279408545,706
SB279408546,345
SB279408548,58
SB279408549,131
SB279408553,117
SB279408554,2223
SB279408555,57
SB279408557,906
SB279408560,641
SB279408561,101
SB279408563,1146
SB279408564,117
SB279408567,131
SB279408569,428
SB279408570,141
SB279408571,1850
SB279408574,409
SB279408575,2602
SB279408576,398
SB279408577,6077
SB279408579,68
SB279408580,442
SB279408581,131
SB279408582,4138
SB279408583,799
SB279408588,349
SB279408650,602
SB279408651,1429
SB279408691,349
SB279408693,131
SB279408695,131
SB279408698,141
SB279408701,5378
SB279408702,2531
SB279408703,4995
SB279408704,6419
SB279408706,1844
SB279408707,6032
SB279408708,1844
SB279408709,2171
SB279408711,69
SB279408713,345
SB279408714,6069
SB279408715,69
SB279408717,428
SB279408720,7978
SB279408723,117
SB279408724,1385
SB279408725,3580
SB279408726,141
SB279408727,58
SB279408728,681
SB279408729,1385
SB279408730,1844
SB279408731,5359
SB279408732,2520
SB279408733,607
SB279408734,399
SB279408735,2040
SB279408736,2248
SB279408737,1125
SB279408738,117
SB279408739,1385
SB279408740,58
SB279408742,491
SB279408743,540
SB279408744,1139
SB279408746,401
SB279408748,1434
SB279408751,58
SB279408753,10043
SB279408754,69
SB279408755,540
SB279408756,58
SB279408758,69
SB279408759,136
SB279408760,23
SB279408761,1508
SB279408763,906
SB279408764,3602
SB279408765,2040
SB279408766,140
SB279408767,117
SB279408768,34
SB279408769,93
SB279408770,6069
SB279408771,428
SB279408772,117
SB279408773,10
SB279408774,117
SB279408775,731
SB279408776,362
SB279408779,442
SB279408780,2040
SB279408781,349
SB279408782,1161
SB279408783,189
SB279408787,117
SB279408788,7624
SB279408789,141
SB279408791,46
SB279408792,212
SB279408794,388
SB279408796,6740
SB279408797,117
SB279408798,297
SB279408800,602
SB279408801,297
SB279408803,1844
SB279408805,1618
SB279408807,3580
SB279408809,1385
SB279408810,5378
SB279408811,1434
SB279408812,23
SB279408813,7698
SB279408814,-
SB279408815,58
SB279408816,2253
SB279408817,533
SB279408818,706
SB279408819,141
SB279408821,141
SB279408822,399
SB279408823,1858
SB279408827,2280
SB279408829,399
SB279408831,117
SB279408832,2171
SB279408833,1385
SB279408834,2253
SB279408835,155
SB279408836,681
SB279408837,345
SB279408838,4774
SB279408840,155
SB279408843,196
SB279408844,2556
SRR6208855,43
SRR6208704,43
SRR6208552,43
SRR6208288,43
SRR6207759,43
SRR6207737,43
SRR11550946,692
SRR11550949,3249
SRR11550950,3249
SRR11550952,3249
SRR11550953,10
SRR11550957,101
SRR11550959,8607
SRR11550960,58
SRR11939512,48
SRR11939533,101
SRR11939534,101
SRR6942784,6388
SRR6942790,167
SRR7026290,617
SRR7026296,156
SRR7026307,410
SRR7026309,405
SRR7031290,10
SRR7031292,10
SRR7031294,10
SRR7031296,10
SRR7031297,10
SRR7031298,10
SRR7031301,10
SRR7031302,48
SRR7031303,48
SRR7031304,48
SRR7031306,10
SRR7031308,10
SRR7031313,10
SRR7031314,10
SRR7031318,10
SRR7031319,10
SRR7031320,10
SRR7031321,10
SRR7031322,10
SRR7031325,10
SRR7031326,10
SRR7031328,10
SRR7031329,10
SRR7031330,10
SRR7031331,48
SRR7031332,48
SRR7031334,10
SRR7031335,10
SRR7031336,10
SRR7031337,10
SRR7031338,10
SRR7031340,10
SRR7031341,48
SRR7716575,410
SRR7716576,648
SRR7716577,167
SRR11047674,1491
SRR11047675,414
SRR11047680,1491
SRR11047681,1491
SRR11047682,414
SRR11047683,1491
SRR11047684,1491
SRR11047685,1491
SRR11550942,58
SRR11550943,443
SRR11550956,43
SRR11550961,10
SRR11550966,154
SRR11550967,8607
SRR11550978,10
SRR11550989,971
SRR11550990,10
SRR11939526,101
SRR11939528,10
SRR11939529,10
SRR14138257,38
SRR14138258,372
SRR14138259,38
SRR14138260,2003
SRR14138261,8680
SRR14138262,648
SRR14138263,1286
SRR14138264,1638
SRR14138265,23
SRR14138266,10
SRR14138267,8679
SRR14138268,69
SRR14138269,744
SRR14138270,93
SRR14138271,131
SRR14138272,1286
SRR14138273,73
SRR14138274,4681
SRR14138275,1286
SRR14138276,174
SRR14138277,648
SRR14138278,34
SRR14138279,7182
SRR14138280,648
SRR14138281,141
SRR14138282,174
SRR14138283,372
SRR14138284,8681
SRR14138285,1286
SRR14138286,372
SRR14138287,410
SRR14138289,7331
SRR14138290,1295
SRR14138291,372
SRR14138292,1163
SRR14138293,38
SRR14138294,38
SRR14138295,1844
SRR14138296,3076
SRR14138297,25
SRR14138298,372
SRR14138299,216
SRR14138300,226
SRR14138301,224
SRR14138302,73
SRR14138303,131
SRR14138304,457
SRR14138305,1286
SRR14138306,1079
SRR14138307,457
SRR14138308,95
SRR14138309,162
SRR14138310,43
SRR14138311,648
SRR14138312,8684
SRR14138313,10
SRR14138314,297
SRR14138315,38
SRR14138316,216
SRR14138317,1286
SRR14138318,2346
SRR14138320,95
SRR14138321,155
SRR14138322,196
SRR14138324,3572
SRR14138325,372
SRR14138326,1737
SRR14138327,117
SRR14138328,73
SRR14138329,4598
SRR14138330,73
SRR14138331,2178
SRR14138332,88
SRR14138333,10
SRR14138334,8682
SRR14138335,224
SRR14138336,609
SRR14138337,69
SRR14138338,354
SRR14138339,69
SRR14138340,8683
SRR14138341,2325
SRR14138343,1011
SRR14138344,405
SRR14138345,48
SRR14138346,1972
SRR14138347,10
SRR14138348,12
SRR14138349,6833
SRR14138351,2722
SRR14138352,7331
SRR14138353,448
SRR14138354,961
SRR14138355,1193
SRR14138356,10
SRR14138358,216
SRR14138359,648
SRR14138360,162
SRR14138361,196
SRR14138362,746
SRR14138363,648
SRR14138364,940
SRR14138365,88
SRR7026288,361
SRR7026294,6823
SRR7026299,410
SRR7026300,410
SRR7026302,410
SRR7026305,410
SRR7026310,410
SRR7188516,410
SRR7716570,602
SRR7716571,167
SRR7716572,410
SRR7716573,167
SRR7716574,167
SRR11354596,131
SRR11354598,1193
SRR11354599,1193
SRR11354612,10
SRR11354613,155
SRR11354615,73
SRR11354616,127
SRR11354620,648
SRR11354622,1193
SRR11354623,648
SRR11354626,95
SRR11354628,1177
SRR11354630,38
SRR11354631,38
SRR3194378,11
SRR3344222,11
SRR3344217,11
SRR3344214,11
SRR3953327,1792
SRR3953303,17
SRR4048285,11
SRR4875346,747
SRR4875327,747
SRR4875325,747
SRR4875326,747
SRR5019514,11
SRR5043174,17
SRR5043173,11
SRR5043168,21
SRR5043165,11
SRR5091631,11
SRR5202193,5172
SRR6653994,11
SRR6653983,11
SRR6651723,11
SRR6651721,11
SRR7657528,17
SRR9652106,173
SRR9651973,2385
SRR9651972,5419
SRR9651970,11
SRR11473201,428
SRR11473210,4045
SRR11473211,371
SRR11473212,131
SRR11473216,-
SRR11473218,-
SRR11473219,117
SRR11473222,95
SRR11473223,117
SRR11473224,117
SRR11473225,-
SRR11473226,117
SRR11473227,117
SRR14995790,5559
SRR14995691,162
SRR14995623,2387
SRR14994821,5559
SRR14994586,2387
SRR14993803,410
SRR14993798,-
SRR14993794,718
SRR14993769,329
SRR14993606,162
SRR5441619,11
SRR5767274,7484
SRR5851438,56
SRR5860180,46
SRR5901512,345
SRR5958623,11
SRR5958622,11
SRR5958621,2329
SRR5958610,278
SRR5956479,316
SRR5970425,5973
SRR5970424,847
SRR5970423,5960
SRR6039964,846
SRR6121986,6605
SRR6121985,58
SRR6231922,48
SRR6231914,7820
SRR6314835,937
SRR6314310,206
SRR6373611,1294
SRR6373603,10
SRR6373152,56
SRR6380512,540
SRR6459240,656
