Sample_Name,ML
SB277889476,131
SB277889477,6069
SB277889478,501
SB277889479,6069
SB277889480,2171
SB277889481,117
SB277889482,117
SB277889483,501
SB277889484,399
SB277889485,57
SB277889486,602
SB277889487,6069
SB277889488,117
SB277889489,-
SB277889490,124
SB277889491,399
SB277889492,-
SB277889493,117
SB277889495,409
SB277889497,23
SB277889499,2171
SB277889500,399
SB277889501,6069
SB277889502,6069
SB277889503,117
SB277889504,937
SB277889507,-
SB277889508,752
SB277889509,399
SB277889510,57
SB277889511,135
SB277889512,5881
SB277889514,399
SB277889516,-
SB277889517,117
SB277889518,117
SB277889519,117
SB277889520,13
SB277889521,-
SB277889522,57
SB277889523,155
SB277889524,101
SB277889525,134
SB277889526,69
SB277889527,162
SB277889528,1112
SB277889529,6096
SB277889530,398
SB277889531,398
SB277889532,93
SB277889533,-
SB277889535,602
SB277889536,2040
SB277889537,117
SB277889538,2040
SB277889540,117
SB277889541,69
SB277889542,101
SB277889543,117
SB277889544,101
SB277889545,501
SB277889546,2040
SB277889547,8472
SB277889548,117
SB277889549,117
SB277889550,401
SB277889551,216
SB277889553,4162
SB277889554,8249
SB277889555,162
SB277889557,101
SB277889558,117
SB277889559,398
SB277889560,10
SB277889561,101
SB277889562,117
SB277889563,2040
SB277889564,2792
SB277889565,2175
SB277889566,140
SB277889567,6069
SB277889568,1141
SB277889569,117
SB277889570,1914
SB277889571,602
SB277889572,117
SB277889575,3258
SB277889577,372
SB277889578,8249
SB277889579,399
SB277889580,351
SB277889581,2328
SB277889582,2175
SB277889583,2792
SB277889584,101
SB277889585,57
SB277889586,134
SB277889587,69
SB277889588,602
SB277889589,5881
SB277889590,10
SB277889591,1079
SB277889592,117
SB277889593,5881
SB277889594,141
SB277889597,602
SB277889603,-
SB277889605,635
SB277889606,101
SB277889607,-
SB277889608,101
SB277889611,117
SB277889612,-
SB277889613,515
SB277889614,23
SB277889615,1844
SB277889616,10
SB277889618,5940
SB277889619,117
SB277889620,101
SB277889621,101
SB277889623,2698
SB277889624,-
SB277889625,366
SB277889626,155
SB277889627,-
SB277889628,68
SB277889629,569
SB277889630,297
SB277889631,428
SB277889632,117
SB277889633,68
SB277889635,101
SB277889636,1084
SB277889637,602
SB277889638,101
SB277889639,6069
SB277889640,2040
SB277889641,657
SB277889642,212
SB277889643,6069
SB277889644,602
SB277889645,401
SB277889646,117
SB277889647,-
SB277889648,1246
SB277889649,-
SB277889650,10
SB277889651,398
SB277889652,355
SB277889653,57
SB277889654,602
SB277889655,-
SB277889656,117
SB277889657,140
SB277889658,117
SB277889661,602
SB277889662,602
SB277889663,101
SB277889664,117
SB277889666,155
SB277889667,602
SB277889668,-
SB277889669,6069
SB277889670,131
SB277889671,23
SB277889672,6069
SB277889673,117
SB277889674,95
SB277889675,155
SB277889676,155
SB277889677,101
SB277889678,937
SB277889679,117
SB277889680,93
SB277889681,57
SB277889682,6022
SB277889683,401
SB277889684,2538
SB277889685,501
SB277889686,117
SB277889687,117
SB277889688,117
SB277889689,101
SB277889691,101
SB277889692,4392
SB277889693,101
SB277889694,140
SB277889695,101
SB277889696,1844
SB277889699,5996
SB277889701,212
SB277889702,101
SB277889703,2171
SB277889704,1582
SB277889706,2485
SB277889707,131
SB277889708,117
SB277889709,57
SB277889710,345
SB277889711,57
SB277889712,218
SB277889713,117
SB277889714,-
SB277889715,2223
SB277889716,162
SB277889717,155
SB277889718,1844
SB277889719,117
SB277889720,57
SB277889721,1611
SB277889722,4162
SB277889723,-
SB277889724,117
SB277889725,131
SB277889726,345
SB277889727,442
SB277889728,-
SB277889729,212
SB277889730,117
SB277889731,2556
SB277889732,93
SB277889733,155
SB277889734,101
SB277889735,602
SB277889736,1850
SB277889737,117
SB277889738,162
SB277889739,501
SB277889741,131
SB277889742,-
SB277889743,117
SB277889744,117
SB277889745,117
SB277889747,349
SB277889749,602
SB277889750,101
SB277889751,117
SB277889752,154
SB277889754,9862
SB277889755,602
SB277889756,602
SB277889757,-
SB277889759,162
SB277889760,401
SB277889761,6707
SB277889762,3258
SB277889763,602
SB277889764,117
SB277889765,101
SB277889766,141
SB277889768,10
SB277889769,117
SB277889770,602
SB277889771,297
SB277889772,34
SB277889773,101
SB277889774,345
SB277889775,34
SB277889776,297
SB277889777,5940
SB277889778,369
SB277889779,95
SB277889780,-
SB277889781,155
SB277889783,2705
SB277889784,155
SB277889785,2253
SB277889787,297
SB277889788,58
SB277889789,93
SB277889790,117
SB277889791,-
SB277889792,140
SB278344457,69
SB278344459,131
SB278344461,95
SB278344464,88
SB278344465,2163
SB278344467,69
SB278344468,141
SB278344469,-
SB278344470,404
SB278344471,73
SB278344472,678
SB278344473,69
SB278344474,127
SB278344475,73
SB278344476,73
SB278344477,69
SB278344479,-
SB278344480,1304
SB278344481,73
SB278344482,131
SB278344483,127
SB278344485,95
SB278344486,73
SB278344487,69
SB278344488,95
SB278344489,127
SB278344491,131
SB278344492,73
SB278344493,998
SB278344494,216
SB278344503,2556
SB278344504,2619
SB278344505,131
SB278344506,127
SB278344508,2554
SB278344509,104
SB278344510,73
SB278344512,131
SB278344513,1193
SB278344516,131
