MLST,ML,Clade,Clade_Shorten
ST642,642,CL-M,CM1
ST328,328,CL-M,CM1
ST13,13,CL-M,CM1
ST154,154,CL-M,CM1
ST448,448,CL-M,CM1
ST1147,1147,CL-M,CM1
ST20,20,CL-M,CM1
ST2111,2111,CL-M,CM1
ST2079,2079,CL-M,CM1
ST6072,6072,CL-M,CM1
ST75,75,CL-M,CM1
ST1252,1252,CL-M,CM1
ST351,351,CL-M,CM1
ST1463,1463,CL-M,CM1
ST5378,5378,CL-M,CM1
ST1086,1086,CL-M,CM1
ST2598,2598,CL-M,CM1
ST6031,6031,CL-M,CM1
ST33,33,CL-M,CM1
ST366,366,CL-M,CM1
ST2161,2161,CL-M,CM1
ST6099,6099,CL-M,CM1
ST533,533,CL-M,CM1
ST3232,3232,CL-M,CM1
ST4532,4532,CL-M,CM1
ST1148,1148,CL-M,CM1
ST1304,1304,CL-M,CM1
ST6096,6096,CL-M,CM1
ST707,707,CL-M,CM1
ST6113,6113,CL-M,CM1
ST6077,6077,CL-M,CM1
ST939,939,CL-M,CM1
ST5994,5994,CL-M,CM1
ST224,224,CL-M,CM1
ST3721,3721,CL-M,CM1
ST1844,1844,CL-M,CM1
ST2726,2726,CL-M,CM1
ST1656,1656,CL-M,CM1
ST6109,6109,CL-M,CM1
ST6019,6019,CL-M,CM1
ST5308,5308,CL-M,CM1
ST3168,3168,CL-M,CM1
ST401,401,CL-M,CM1
ST6069,6069,CL-M,CM1
ST1430,1430,CL-M,CM1
ST300,300,CL-M,CM1
ST410,410,CL-M,CM1
ST974,974,CL-M,CM1
ST360,360,CL-M,CM1
ST88,88,CL-M,CM1
ST6029,6029,CL-M,CM1
ST2230,2230,CL-M,CM1
ST23,23,CL-M,CM1
ST652,652,CL-M,CM1
ST1083,1083,CL-M,CM1
ST5998,5998,CL-M,CM1
ST6032,6032,CL-M,CM1
ST6093,6093,CL-M,CM1
ST6022,6022,CL-M,CM1
ST756,756,CL-M,CM1
ST5826,5826,CL-M,CM1
ST167,167,CL-M,CM1
ST617,617,CL-M,CM1
ST4988,4988,CL-M,CM1
ST744,744,CL-M,CM1
ST5265,5265,CL-M,CM1
ST975,975,CL-M,CM1
ST6001,6001,CL-M,CM1
ST10,10,CL-M,CM1
ST3877,3877,CL-M,CM1
ST6115,6115,CL-M,CM1
ST1141,1141,CL-M,CM1
ST1137,1137,CL-M,CM1
ST5996,5996,CL-M,CM1
ST34,34,CL-M,CM1
ST5824,5824,CL-M,CM1
ST1415,1415,CL-M,CM1
ST6094,6094,CL-M,CM1
ST43,43,CL-M,CM1
ST6070,6070,CL-M,CM1
ST4253,4253,CL-M,CM1
ST1286,1286,CL-M,CM1
