"Sample_Name","training","MLST","Human_CL1","Human_CL2","Chicken_CL1","Chicken_CL2","Pork","CL1","CL2","EL18","EL19","EL2","EL3","EL35","EL36","EL37","EL38","EL39","EL40","EL41","EL42","EL43","EL44","EL45","EL46","EL50"
"SB2710441359",1,"ST4774",0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"SB278791547",1,"ST399",0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"SB279407444",1,"ST404",0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0
"SB277889704",1,"ST1582",0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1
"SB2710445091",1,"ST73",0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"SB2710442247",1,"ST4774",0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"SB2713433660",1,"ST95",0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
"SB2710442463",1,"ST399",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"SB2710196265",1,"ST23",0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"SB279408738",1,"ST117",0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"SB2713434103",1,"ST57",0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0
"SB278791739",1,"ST69",0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"SB2710445920",1,"ST58",0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0
"SB277889427",1,"ST57",0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0
"SB278344493",1,"ST998",0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
"SB2710442288",1,"ST101",0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"SB2710196309",1,"ST2558",0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
"SB279407830",1,"ST117",0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"SB278791380",1,"ST23",0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0
"SB277889391",1,"ST1775",0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1
"SB2710196305",1,"ST127",0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
"SB277889603",1,"ST10733",0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0
